cat1,cat2,categories,color_response,hue1,hue2,hue_response,proto_hue,proto_resp_error,proto_target_diff,response_bias,response_error,sessionid,set_size,shuffled_hue1,shuffled_response_error
red,yellow,diff,#e1ff00,75.664051206965,25.664051206965,67.05882352941177,121.86554621849697,54.806722689085206,46.201495011531975,-8.60522767755323,8.60522767755323,1589367650944,2,83.27127682997424,16.212453300562473
blue,blue,same,#00ccff,208.941768418743,258.941768418743,192,229.89915966385712,37.89915966385712,20.95739124511411,-16.94176841874301,16.94176841874301,1589367650944,2,215.68089204771587,23.680892047715872
yellow,green,diff,#c8ff00,79.821549584158,129.821549584158,72.94117647058825,121.86554621849697,48.92436974790873,42.04399663433897,-6.88037311356976,6.88037311356976,1589367650944,2,299.7821938811515,133.15898258943673
yellow,green,diff,#04ff00,52.9677222644091,102.967722264409,119.05882352941177,57.91596638651193,61.142857142899835,4.948244122102835,66.09110126500266,66.09110126500266,1589367650944,2,292.94779712822026,173.8889735988085
green,green,same,#00ff91,145.612525309562,95.6125253095623,154.1176470588235,121.86554621849697,32.252100840326534,-23.746979091065015,-8.50512174926152,8.50512174926152,1589367650944,2,181.20950759199278,27.091860533169267
red,red,same,#ff6200,22.761071557034,332.761071557034,23.05882352941176,5.999999999993606,17.058823529418156,-16.761071557040395,-0.2977519723777604,0.2977519723777604,1589367650944,2,268.5407288747965,114.51809465461525
red,yellow,diff,#ffe500,47.225382748978,357.225382748978,53.88235294117647,57.91596638651193,4.033613445335462,10.690583637533933,6.656970192198472,6.656970192198472,1589367650944,2,334.12010867146404,79.76224426971243
purple,red,diff,#ff00e6,319.868016860498,9.86801686049797,305.88235294117646,281.6806722688825,24.201680672293946,-38.1873445916155,13.985663919321553,13.985663919321553,1589367650944,2,257.346433809663,48.53591913151348
yellow,green,diff,#ffa600,44.017485438812,94.017485438812,39.05882352941177,57.91596638651193,18.857142857100165,13.89848094769993,-4.958661909400234,4.958661909400234,1589367650944,2,340.81784891481203,58.240974614599736
green,green,same,#00ff88,145.612525309562,95.6125253095623,152,121.86554621849697,30.134453781503026,-23.746979091065015,-6.387474690438012,6.387474690438012,1589367650944,2,257.9669656432981,105.96696564329812
yellow,yellow,same,#ff8c00,30.5965564225102,80.5965564225102,32.94117647058824,5.999999999993606,26.941176470594634,-24.596556422516596,-2.3446200480780384,2.3446200480780384,1589367650944,2,157.6723722624144,124.73119579182617
yellow,yellow,same,#ff8400,34.753511994079,84.753511994079,31.05882352941176,57.91596638651193,26.857142857100172,23.162454392432934,-3.6946884646672373,3.6946884646672373,1589367650944,2,337.64636516643975,53.41245836297202
blue,purple,diff,#0d00ff,231.559670864415,281.559670864415,243.05882352941174,229.89915966385712,13.15966386555462,-1.6605112005578917,-11.499152664996728,11.499152664996728,1589367650944,2,113.58600443204219,129.47281909736955
blue,purple,diff,#bb00ff,293.747222529427,243.747222529427,284,281.6806722688825,2.3193277311174825,-12.066550260544489,9.747222529427006,9.747222529427006,1589367650944,2,107.14753707919525,176.85246292080475
