hue2,hue3,hue4,memory_hue,response_bias,response_error,response_hue,set_size
95,218,283,195,10.176470588235333,10.176470588235333,205.17647058823533,3
174,296,49,42,0.1176470588235361,-0.1176470588235361,41.882352941176464,4
319,168,15,9,5.235294117647059,-5.235294117647059,3.764705882352941,2
273,35,61,195,-1.8235294117647243,-1.8235294117647243,193.17647058823528,2
133,265,200,16,-3.0588235294117627,-3.0588235294117627,12.941176470588237,2
53,275,344,202,-144.11764705882354,-144.11764705882354,57.88235294117648,4
325,219,264,202,-2.9411764705882604,-2.9411764705882604,199.05882352941174,2
48,63,207,199,4.0588235294117965,4.0588235294117965,203.0588235294118,3
60,162,189,16,-2.1176470588235254,-2.1176470588235254,13.882352941176475,1
191,299,76,142,1.058823529411768,-1.058823529411768,140.94117647058823,3
79,210,260,0,-11.764705882352938,11.764705882352938,11.764705882352938,3
202,306,311,254,24.823529411764724,-24.823529411764724,229.17647058823528,4
233,85,321,269,5.823529411764696,5.823529411764696,274.8235294117647,1
268,229,104,346,-6.941176470588232,-6.941176470588232,339.05882352941177,1
280,223,57,9,25.941176470588232,-25.941176470588232,343.05882352941177,3
240,134,298,202,4.1176470588235645,4.1176470588235645,206.11764705882356,2
179,171,330,293,-18.058823529411768,18.058823529411768,311.05882352941177,2
12,41,73,200,-5.882352941176492,-5.882352941176492,194.1176470588235,2
122,83,289,195,2.1764705882352757,2.1764705882352757,197.17647058823528,3
116,175,228,0,-11.764705882352938,11.764705882352938,11.764705882352938,3
45,2,34,42,6,-6,36,4
121,307,184,16,-15.058823529411768,-15.058823529411768,0.941176470588232,4
111,359,342,218,-2.235294117647072,2.235294117647072,220.23529411764707,2
277,27,19,269,-46.882352941176464,-46.882352941176464,222.11764705882354,3
64,327,109,293,10.176470588235304,-10.176470588235304,282.8235294117647,2
9,259,293,160,-16.941176470588232,16.941176470588232,176.94117647058823,4
284,24,155,185,-9.235294117647044,-9.235294117647044,175.76470588235296,1
238,244,45,0,-1.8823529411764706,1.8823529411764706,1.8823529411764706,1
106,328,342,73,-7,7,80,1
351,329,112,9,19.823529411764696,-19.823529411764696,349.1764705882353,4
168,217,266,293,-21.117647058823536,21.117647058823536,314.11764705882354,1
322,79,136,257,19.823529411764696,-19.823529411764696,237.1764705882353,4
197,248,324,293,3.117647058823536,-3.117647058823536,289.88235294117646,4
60,125,248,0,-4.941176470588237,4.941176470588237,4.941176470588237,2
59,257,225,346,18.941176470588232,18.941176470588232,4.941176470588237,2
60,350,218,250,14,-14,236,2
179,211,312,218,18.94117647058826,-18.94117647058826,199.05882352941174,3
190,26,300,269,0.8823529411764639,0.8823529411764639,269.88235294117646,2
148,215,24,160,-4.941176470588232,4.941176470588232,164.94117647058823,1
208,200,276,269,7,7,276,1
